Category,Pub,Rating
Cheapness,The Duke's Head in Little Burstead,★★
Ambience,The Duke's Head in Little Burstead,★★★
Availability of vegan food,The Duke's Head in Little Burstead,★★★
Surroundings,The Duke's Head in Little Burstead,★★★
Bathrooms,The Duke's Head in Little Burstead,★★
Food quality,The Duke's Head in Little Burstead,★★★
Drinks,The Duke's Head in Little Burstead,★★
Service,The Duke's Head in Little Burstead,★★
Bathrooms,The Quays in Basildon,★★
Surroundings,The Quays in Basildon,★★
Ambience,The Quays in Basildon,★★
Cheapness,The Quays in Basildon,★★★
Service,The Quays in Basildon,★★
Food quality,The Quays in Basildon,★
Drinks,The Quays in Basildon,★★
Availability of vegan food,The Quays in Basildon,★★
Availability of vegan food,The Dog and Partridge in Orsett,★
Food quality,The Dog and Partridge in Orsett,★
Drinks,The Dog and Partridge in Orsett,★★
Ambience,The Dog and Partridge in Orsett,★★
Surroundings,The Dog and Partridge in Orsett,★★★
Bathrooms,The Dog and Partridge in Orsett,★★
Service,The Dog and Partridge in Orsett,★★
Availability of vegan food,The Moon On The Square in Basildon,★★★
Ambience,The Moon On The Square in Basildon,★★
Cheapness,The Moon On The Square in Basildon,★★★★
Service,The Moon On The Square in Basildon,★★
Food quality,The Moon On The Square in Basildon,★★★
Drinks,The Moon On The Square in Basildon,★★★
Surroundings,The Moon On The Square in Basildon,★
Bathrooms,The Moon On The Square in Basildon,★★★
Availability of vegan food,The Beehive in Basildon,★
Service,The Beehive in Basildon,★★
Ambience,The Beehive in Basildon,★
Cheapness,The Beehive in Basildon,★★★★
Food quality,The Beehive in Basildon,★
Surroundings,The Beehive in Basildon,
Bathrooms,The Beehive in Basildon,★
Drinks,The Beehive in Basildon,★
